First Name,Last Name,Address,Telephone,Email Address,Content Preference,Interval
Paul,Darnell,"20 Woodward St, Cumberland, Rhode Island(RI), 02864",(401) 475-1476,QATesting545+Paul.Darnell@outlook.com,Sport,Daily
Maybelle,Haas,"7 Lone Hollow, Sandy, Utah(UT), 84092",(801) 571-7089,QATesting545+Maybelle.Haas@outlook.com,Tech,Daily
Tomi,Dickey,"7217 Old 422 Rte, Portersville, Pennsylvania(PA), 16051",(724) 924-2692,QATesting545+Tomi.Dickey@outlook.com,Hobbies,Daily
Margurite,Stratton,"358 Fulton St, Natchitoches, Louisiana(LA), 71457",(318) 228-8430,QATesting545+Margurite.Stratton@outlook.com,Sport,Daily
Malcom,Pope,"650 S Main St #2304, Bountiful, Utah(UT), 84010",(801) 294-9055,QATesting545+Malcom.Pope@outlook.com,Tech,Daily
Micha,Shaver,"#RR, Carrollton, Illinois(IL), 62016",(217) 942-5504,QATesting545+Micha.Shaver@outlook.com,Hobbies,Daily
Elayne,Ash,"7332 E Mallory Cir, Mesa, Arizona(AZ), 85207",(480) 924-7769,QATesting545+Elayne.Ash@outlook.com,Sport,Daily
Karlene,Padgett,"550 Rowells Rd, Catawba, South Carolina(SC), 29704",(803) 324-0986,QATesting545+Karlene.Padgett@outlook.com,Tech,Daily
Owen,Beltran,"236 Ohio Ave, Shenandoah, Pennsylvania(PA), 17976",(570) 462-2482,QATesting545+Owen.Beltran@outlook.com,Hobbies,Daily
Jong,Roark,"110 Fuller St, Weiner, Arkansas(AR), 72479",(870) 684-2633,QATesting545+Jong.Roark@outlook.com,Sport,Daily
Kathlyn,Stevenson,"1535 New 52 Hwy E, Westmoreland, Tennessee(TN), 37186",(615) 644-9218,QATesting545+Kathlyn.Stevenson@outlook.com,Tech,Daily
Danna,Huggins,"1111 Lehigh St, Allentown, Pennsylvania(PA), 18103",(610) 770-6642,QATesting545+Danna.Huggins@outlook.com,Hobbies,Daily
Richard,Grimes,"12044 W State 78 Rd, Moore Haven, Florida(FL), 33471",(863) 946-1564,QATesting545+Richard.Grimes@outlook.com,Sport,Daily
Cuc,Tripp,"405 Center St, Pleasanton, Kansas(KS), 66072",(913) 352-6726,QATesting545+Cuc.Tripp@outlook.com,Tech,Daily
Kurt,Maher,"1225 National Hwy #B, Cumberland, Maryland(MD), 21502",(301) 729-3111,QATesting545+Kurt.Maher@outlook.com,Hobbies,Daily
Reed,Peterson,"1022 W Allegan St, Martin, Michigan(MI), 49070",(269) 672-3036,QATesting545+Reed.Peterson@outlook.com,Sport,Daily
Naomi,Gaines,"60 Rr 4, Bluefield, West Virginia(WV), 24701",(304) 323-3188,QATesting545+Naomi.Gaines@outlook.com,Tech,Daily
Shalon,Starks,"149 N High St, Harrisonburg, Virginia(VA), 22802",(540) 442-7762,QATesting545+Shalon.Starks@outlook.com,Hobbies,Daily
Lin,Hughes,"29 Plainfield Pike, Foster, Rhode Island(RI), 02825",(401) 647-5882,QATesting545+Lin.Hughes@outlook.com,Sport,Daily
Merissa,Winter,"Po Box 957135, Duluth, Georgia(GA), 30095",(636) 240-8095,QATesting545+Merissa.Winter@outlook.com,Tech,Daily
bob,Dennis,"41 Graham Dr,  Waynesboro,  Mississippi(MS), 39367 ",(601) 735-0095,QATesting545+bob.Dennis@outlook.com,Sport,Daily
